# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
205000 40 11520
  1 0.0125 287.628 280.444
  2 0.0375 288.642 281.763
  3 0.0625 288.062 276.618
  4 0.0875 288.146 278.997
  5 0.1125 287.918 285.143
  6 0.1375 287.826 277.535
  7 0.1625 287.684 286.357
  8 0.1875 287.912 288.344
  9 0.2125 288.056 289.958
  10 0.2375 287.798 299.532
  11 0.2625 287.464 304.594
  12 0.2875 287.63 307.87
  13 0.3125 288.076 301.502
  14 0.3375 287.848 306.287
  15 0.3625 288.374 300.389
  16 0.3875 288.072 303.222
  17 0.4125 288.468 307.617
  18 0.4375 287.638 310.006
  19 0.4625 287.898 310.839
  20 0.4875 288.154 306.477
  21 0.5125 287.796 311.799
  22 0.5375 288.276 322.943
  23 0.5625 287.692 317.574
  24 0.5875 288.39 312.467
  25 0.6125 287.952 309.594
  26 0.6375 288.27 304.827
  27 0.6625 287.908 300.528
  28 0.6875 288.438 306.622
  29 0.7125 288.13 301.103
  30 0.7375 288.39 306.42
  31 0.7625 287.878 305.222
  32 0.7875 288.564 304.676
  33 0.8125 288.044 302.32
  34 0.8375 288.308 304.015
  35 0.8625 288.004 294.651
  36 0.8875 288.192 292.443
  37 0.9125 287.8 291.694
  38 0.9375 288.078 287.814
  39 0.9625 287.072 284.002
  40 0.9875 287.524 284.363
210000 40 11519.999999999998
  1 0.0125 288.718 274.257
  2 0.0375 287.412 280.004
  3 0.0625 287.802 286.707
  4 0.0875 287.936 286.17
  5 0.1125 287.926 285.796
  6 0.1375 288.174 287.615
  7 0.1625 287.41 288.29
  8 0.1875 287.864 283.997
  9 0.2125 287.602 296.879
  10 0.2375 287.722 305.086
  11 0.2625 288.288 305.025
  12 0.2875 288.248 309.136
  13 0.3125 288.67 309.142
  14 0.3375 288.12 298.562
  15 0.3625 288.276 297.723
  16 0.3875 287.146 303.292
  17 0.4125 288.028 306.49
  18 0.4375 288.248 303.543
  19 0.4625 288.182 295.68
  20 0.4875 288.676 304.868
  21 0.5125 287.956 314.539
  22 0.5375 287.756 313.7
  23 0.5625 287.27 318.979
  24 0.5875 288.146 314.362
  25 0.6125 288.412 307.3
  26 0.6375 288.12 305.362
  27 0.6625 287.644 299.718
  28 0.6875 287.65 308.991
  29 0.7125 288.608 300.934
  30 0.7375 288.412 301.255
  31 0.7625 288.158 303.837
  32 0.7875 288.446 295.753
  33 0.8125 288.238 297.759
  34 0.8375 288.282 300.042
  35 0.8625 288.094 299.504
  36 0.8875 287.382 303.061
  37 0.9125 287.724 298.045
  38 0.9375 288.72 287.15
  39 0.9625 287.084 285.361
  40 0.9875 287.45 285.382
215000 40 11519.999999999998
  1 0.0125 288.812 280.1
  2 0.0375 288.45 290.74
  3 0.0625 287.996 299.296
  4 0.0875 288.608 290.391
  5 0.1125 287.86 291.167
  6 0.1375 288.392 291.872
  7 0.1625 287.752 298.484
  8 0.1875 287.93 293.747
  9 0.2125 287.796 292.517
  10 0.2375 288.002 298.599
  11 0.2625 287.484 299.868
  12 0.2875 287.342 302.616
  13 0.3125 288.328 301.633
  14 0.3375 287.676 298.702
  15 0.3625 288.268 292.308
  16 0.3875 287.504 301.845
  17 0.4125 287.954 301.337
  18 0.4375 288.104 304.016
  19 0.4625 288.332 306.112
  20 0.4875 288.064 309.32
  21 0.5125 289.03 319.975
  22 0.5375 288.08 315.832
  23 0.5625 287.704 315.408
  24 0.5875 287.718 310.768
  25 0.6125 287.85 308.697
  26 0.6375 287.856 306.879
  27 0.6625 288.342 306.1
  28 0.6875 287.544 300.727
  29 0.7125 288.286 300.833
  30 0.7375 287.958 296.314
  31 0.7625 287.868 294.752
  32 0.7875 287.29 290.333
  33 0.8125 287.63 294.438
  34 0.8375 287.686 297.893
  35 0.8625 288.264 302.721
  36 0.8875 287.754 299.3
  37 0.9125 287.824 283.518
  38 0.9375 288.55 288.42
  39 0.9625 287.97 286.199
  40 0.9875 288.142 284.513
220000 40 11519.999999999996
  1 0.0125 287.658 290.903
  2 0.0375 287.802 288.368
  3 0.0625 288.05 281.465
  4 0.0875 287.63 284.47
  5 0.1125 288.034 291.957
  6 0.1375 287.286 284.728
  7 0.1625 288.066 285.421
  8 0.1875 288.212 298.776
  9 0.2125 288.02 293.948
  10 0.2375 288.314 296.414
  11 0.2625 287.176 307.379
  12 0.2875 288.154 300.33
  13 0.3125 288.166 296.004
  14 0.3375 288.168 300.565
  15 0.3625 288.12 300.477
  16 0.3875 288.012 302.085
  17 0.4125 288.344 302.898
  18 0.4375 288.27 300.05
  19 0.4625 287.074 315.765
  20 0.4875 288.476 311.596
  21 0.5125 287.71 313.093
  22 0.5375 288.498 315.776
  23 0.5625 288.084 316.214
  24 0.5875 288.262 308.126
  25 0.6125 287.594 302.031
  26 0.6375 288.1 300.55
  27 0.6625 287.99 299.59
  28 0.6875 287.948 304.08
  29 0.7125 287.986 301.102
  30 0.7375 288.166 305.474
  31 0.7625 288.022 304.98
  32 0.7875 288.676 300.113
  33 0.8125 287.212 301.642
  34 0.8375 288.126 296.346
  35 0.8625 288.5 297.319
  36 0.8875 288.27 294.781
  37 0.9125 288.032 291.054
  38 0.9375 287.898 284.342
  39 0.9625 288.148 288.746
  40 0.9875 287.746 289.702
225000 40 11519.999999999998
  1 0.0125 288.268 293.793
  2 0.0375 288.246 279.59
  3 0.0625 288.166 280.488
  4 0.0875 288.072 284.981
  5 0.1125 288.6 285.84
  6 0.1375 287.208 278.462
  7 0.1625 288.052 282.12
  8 0.1875 287.408 284.409
  9 0.2125 287.844 295.479
  10 0.2375 288.054 305.686
  11 0.2625 288.142 304.435
  12 0.2875 287.438 296.449
  13 0.3125 287.318 301.491
  14 0.3375 287.822 299.389
  15 0.3625 287.874 304.879
  16 0.3875 287.432 306.634
  17 0.4125 288.042 305.455
  18 0.4375 288.104 308.032
  19 0.4625 288.192 314.465
  20 0.4875 288.26 310.307
  21 0.5125 287.73 301.625
  22 0.5375 288.444 310.419
  23 0.5625 288.458 319.801
  24 0.5875 288.358 316.897
  25 0.6125 287.822 311.31
  26 0.6375 287.776 300.607
  27 0.6625 288.66 302.83
  28 0.6875 287.92 305.936
