# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 8639.999999999998
  34 0.8375 215.536 293.218
  35 0.8625 216.01 288.338
  36 0.8875 216.436 291.026
  37 0.9125 215.494 289.477
  38 0.9375 216.012 288.65
  39 0.9625 215.862 288.16
  40 0.9875 215.468 288.083
30000 40 8639.999999999998
  1 0.0125 215.568 292.84
  2 0.0375 216.47 289.645
  3 0.0625 216.158 296.696
  4 0.0875 215.578 295.186
  5 0.1125 215.812 296.873
  6 0.1375 215.732 294.103
  7 0.1625 215.776 291.785
  8 0.1875 216.524 294.361
  9 0.2125 215.732 292.419
  10 0.2375 216.208 295.556
  11 0.2625 216.736 296.56
  12 0.2875 216.35 296.751
  13 0.3125 216.448 294.74
  14 0.3375 216.118 296.209
  15 0.3625 216.406 295.682
  16 0.3875 216.158 297.091
  17 0.4125 215.612 301.498
  18 0.4375 216.084 307.361
  19 0.4625 216.826 309.256
  20 0.4875 215.088 315.8
  21 0.5125 216.39 311.523
  22 0.5375 215.362 313.213
  23 0.5625 216.146 306.741
  24 0.5875 215.64 304.569
  25 0.6125 216.33 304.733
  26 0.6375 215.948 302.532
  27 0.6625 216.038 300.748
  28 0.6875 215.738 304.716
  29 0.7125 216.008 300.549
  30 0.7375 215.436 296.434
  31 0.7625 215.702 291.069
  32 0.7875 216.36 290.573
  33 0.8125 215.72 294.896
  34 0.8375 215.736 291.005
  35 0.8625 216.654 293.118
  36 0.8875 215.848 291.957
  37 0.9125 215.35 295.26
  38 0.9375 216.458 290.627
  39 0.9625 215.256 299.185
  40 0.9875 216.496 296.071
35000 40 8639.999999999998
  1 0.0125 216.592 291.579
  2 0.0375 215.212 289.834
  3 0.0625 215.346 288.868
  4 0.0875 215.546 290.962
  5 0.1125 215.924 299.335
  6 0.1375 216.902 293.4
  7 0.1625 215.502 286.625
  8 0.1875 216.286 292.016
  9 0.2125 216.15 294.653
  10 0.2375 216.278 301.724
  11 0.2625 216.184 295.823
  12 0.2875 215.782 291.381
  13 0.3125 216.142 293.639
  14 0.3375 215.864 296.546
  15 0.3625 217.066 303.642
  16 0.3875 215.932 299.949
  17 0.4125 216.16 299.42
  18 0.4375 215.984 300.783
  19 0.4625 216.036 301.998
  20 0.4875 216.39 308.355
  21 0.5125 215.956 316.265
  22 0.5375 215.686 314.497
  23 0.5625 215.664 315.428
  24 0.5875 216.788 308.919
  25 0.6125 216.442 312.037
  26 0.6375 216.096 299.749
  27 0.6625 215.372 310.396
  28 0.6875 215.858 300.473
  29 0.7125 215.936 298.782
  30 0.7375 215.506 292.014
  31 0.7625 216.446 296.073
  32 0.7875 215.342 295.264
  33 0.8125 215.994 295.697
  34 0.8375 215.766 287.177
  35 0.8625 217.032 293.831
  36 0.8875 215.904 295.56
  37 0.9125 215.572 294.054
  38 0.9375 215.99 293.958
  39 0.9625 215.826 293.693
  40 0.9875 215.546 294.683
40000 40 8640
  1 0.0125 215.812 277.485
  2 0.0375 216.412 282.756
  3 0.0625 216.664 284.8
  4 0.0875 215.75 285.776
  5 0.1125 216.87 291.084
  6 0.1375 215.68 288.932
  7 0.1625 216.37 294.461
  8 0.1875 215.644 303.638
  9 0.2125 215.946 300.321
  10 0.2375 216.158 300.25
  11 0.2625 216.172 303.732
  12 0.2875 215.406 303.776
  13 0.3125 215.964 308.802
  14 0.3375 215.696 306.307
  15 0.3625 216.08 297.648
  16 0.3875 216.346 301.308
  17 0.4125 215.506 297.312
  18 0.4375 216.06 298.014
  19 0.4625 216.096 296.235
  20 0.4875 215.23 301.929
  21 0.5125 216.784 305.196
  22 0.5375 216.1 314.851
  23 0.5625 216.18 310.597
  24 0.5875 216.226 317.411
  25 0.6125 216.026 308.408
  26 0.6375 215.218 311.179
  27 0.6625 216.464 304.42
  28 0.6875 215.63 300.853
  29 0.7125 215.954 295.51
  30 0.7375 216.004 294.999
  31 0.7625 215.592 298.415
  32 0.7875 216.162 291.412
  33 0.8125 215.542 293.29
  34 0.8375 215.976 296.492
  35 0.8625 215.792 297.204
  36 0.8875 215.818 299.706
  37 0.9125 216 298.515
  38 0.9375 216.988 291.891
  39 0.9625 215.796 285.522
  40 0.9875 215.886 288.322
45000 40 8639.999999999998
  1 0.0125 215.826 288.476
  2 0.0375 215.7 280.065
  3 0.0625 216.836 281.915
  4 0.0875 216.016 285.268
  5 0.1125 216.242 294.835
  6 0.1375 215.564 291.202
  7 0.1625 216.528 287.411
  8 0.1875 215.894 294.901
  9 0.2125 215.56 304.609
  10 0.2375 216.322 297.354
  11 0.2625 216.058 307.35
  12 0.2875 216.488 303.616
