# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 17280
  1 0.0125 432.44 294.815
  2 0.0375 432.394 290.661
  3 0.0625 432.638 288.869
  4 0.0875 431.856 291.448
  5 0.1125 431.8 295.904
  6 0.1375 432.614 300.238
  7 0.1625 431.384 301.699
  8 0.1875 431.48 293.814
  9 0.2125 431.816 294.563
  10 0.2375 431.556 290.832
  11 0.2625 432.11 301.457
  12 0.2875 433.444 297.269
  13 0.3125 432.364 300.591
  14 0.3375 432.522 302.502
  15 0.3625 432.982 297.763
  16 0.3875 432.026 298.637
  17 0.4125 431.388 307.394
  18 0.4375 431.962 312.537
  19 0.4625 431.434 313.37
  20 0.4875 432.434 308.021
  21 0.5125 432.018 308.593
  22 0.5375 431.852 307.122
  23 0.5625 431.188 302.052
  24 0.5875 431.266 303.395
  25 0.6125 430.55 302.967
  26 0.6375 431.648 298.253
  27 0.6625 431.996 302.5
  28 0.6875 432.314 304.095
  29 0.7125 430.866 305.965
  30 0.7375 433.22 304.031
  31 0.7625 431.822 305.273
  32 0.7875 431.798 299.138
  33 0.8125 432.602 298.107
  34 0.8375 431.436 292.244
  35 0.8625 432.372 303.472
  36 0.8875 432.142 302.718
  37 0.9125 432.602 305.609
  38 0.9375 431.874 303.499
  39 0.9625 432.098 293.265
  40 0.9875 431.692 297.891
10000 40 17279.999999999996
  1 0.0125 432.458 282.662
  2 0.0375 432.428 279.629
  3 0.0625 431.124 284.531
  4 0.0875 432.042 289.961
  5 0.1125 431.836 297.285
  6 0.1375 430.74 297.979
  7 0.1625 433.024 298.354
  8 0.1875 431.248 300.857
  9 0.2125 432.4 301.686
  10 0.2375 431.818 301.595
  11 0.2625 432.534 300.711
  12 0.2875 432.516 307.16
  13 0.3125 432.952 298.767
  14 0.3375 432.122 294.838
  15 0.3625 433.076 295.832
  16 0.3875 431.488 303.592
  17 0.4125 433.226 305.437
  18 0.4375 432.418 299.274
  19 0.4625 431.132 312.111
  20 0.4875 430.356 316.399
  21 0.5125 431.458 315.341
  22 0.5375 431.722 313.589
  23 0.5625 432.222 309.263
  24 0.5875 432.042 309.118
  25 0.6125 431.466 304.945
  26 0.6375 431.636 300.048
  27 0.6625 431.418 304.729
  28 0.6875 431.578 295.314
  29 0.7125 431.692 304.629
  30 0.7375 432.072 301.521
  31 0.7625 431.562 302.045
  32 0.7875 432.58 300.003
  33 0.8125 431.816 298.249
  34 0.8375 431.978 304.259
  35 0.8625 432.082 299.202
  36 0.8875 432.622 306.897
  37 0.9125 432.828 302.565
  38 0.9375 432.502 294.212
  39 0.9625 431.956 299.178
  40 0.9875 431.83 291.17
15000 40 17280
  1 0.0125 431.914 283.69
  2 0.0375 431.846 280.908
  3 0.0625 432.206 290.475
  4 0.0875 431.758 292.48
  5 0.1125 432.202 290.425
  6 0.1375 431.4 290.745
  7 0.1625 432.468 301.456
  8 0.1875 432.402 303.074
  9 0.2125 431.746 299.313
  10 0.2375 431.55 302.654
  11 0.2625 431.744 302.421
  12 0.2875 432.368 298.169
  13 0.3125 432.384 298.811
  14 0.3375 431.548 301.134
  15 0.3625 432.418 300.623
  16 0.3875 432.208 308.475
  17 0.4125 431.944 304.84
  18 0.4375 433.174 306.931
  19 0.4625 431.642 307.226
  20 0.4875 431.676 314.195
  21 0.5125 432.506 314.126
  22 0.5375 431.476 317.298
  23 0.5625 431.37 312.897
  24 0.5875 431.226 309.914
  25 0.6125 431.762 311.682
  26 0.6375 431.784 303.396
  27 0.6625 431.52 308.073
  28 0.6875 431.518 300.719
  29 0.7125 432.402 303.828
  30 0.7375 431.506 295.306
  31 0.7625 432.494 292.723
  32 0.7875 431.29 297.261
  33 0.8125 432.514 300.099
  34 0.8375 432.39 300.673
  35 0.8625 431.856 301.006
  36 0.8875 431.688 299.878
  37 0.9125 432.418 298.824
  38 0.9375 432.524 299.205
  39 0.9625 432.926 291.827
  40 0.9875 432.232 287.392
20000 40 17280
  1 0.0125 432.83 291.469
  2 0.0375 431.718 286.189
  3 0.0625 431.894 283.789
  4 0.0875 431.714 287.359
  5 0.1125 432.182 290.01
  6 0.1375 431.816 300.038
  7 0.1625 431.614 304.354
  8 0.1875 431.528 303.834
  9 0.2125 431.726 299.241
  10 0.2375 431.318 295.075
  11 0.2625 431.478 297.473
  12 0.2875 431.762 296.952
  13 0.3125 431.226 302.092
  14 0.3375 432.512 305.103
  15 0.3625 432.164 302.558
  16 0.3875 431.744 305.776
  17 0.4125 432.584 302.642
  18 0.4375 431.37 303.687
  19 0.4625 431.27 307.893
  20 0.4875 432.348 314.115
  21 0.5125 431.294 315.574
  22 0.5375 431.88 325.413
  23 0.5625 432.182 315.224
  24 0.5875 432.138 302.5
  25 0.6125 432.78 300.779
  26 0.6375 432.274 312.952
  27 0.6625 431.872 310.471
  28 0.6875 432.54 308.693
  29 0.7125 432.136 302.856
  30 0.7375 432.028 303.1
  31 0.7625 432.78 303.413
  32 0.7875 431.9 296.733
  33 0.8125 431.798 298.835
  34 0.8375 433.056 297.798
  35 0.8625 433.102 297.808
  36 0.8875 432.596 287.101
  37 0.9125 431.672 291.849
  38 0.9375 432.042 294.274
  39 0.9625 431.92 288.825
  40 0.9875 431.212 289.626
25000 40 17279.999999999996
  1 0.0125 431.488 293.746
  2 0.0375 431.784 288.838
  3 0.0625 431.512 285.58
  4 0.0875 431.772 291.538
  5 0.1125 432.384 293.936
  6 0.1375 432.03 293.103
  7 0.1625 432.312 286.402
  8 0.1875 432.356 291.357
  9 0.2125 431.392 298.541
  10 0.2375 432.518 295.298
  11 0.2625 430.664 302.691
  12 0.2875 431.776 306.337
  13 0.3125 431.134 307.382
  14 0.3375 432.188 298.155
  15 0.3625 431.224 301.622
  16 0.3875 433.006 301.657
  17 0.4125 432.294 305.451
  18 0.4375 432.164 307.341
  19 0.4625 431.902 310.638
  20 0.4875 431.674 312.028
  21 0.5125 431.582 312.544
  22 0.5375 432.586 313.879
  23 0.5625 431.616 316.674
  24 0.5875 433.082 317.146
  25 0.6125 431.802 311.216
  26 0.6375 431.866 312.39
  27 0.6625 431.792 316.674
  28 0.6875 431.564 311.828
  29 0.7125 432.406 301.617
  30 0.7375 432.054 301.898
  31 0.7625 432.628 302.773
  32 0.7875 432.202 295.303
  33 0.8125 432.57 295.184
  34 0.8375 432.024 290.689
  35 0.8625 432.328 295.605
  36 0.8875 432.598 297.215
  37 0.9125 432.116 291.674
  38 0.9375 432.504 290.968
  39 0.9625 431.63 293.667
  40 0.9875 431.476 284.664
30000 40 17280
  1 0.0125 431.354 281.582
  2 0.0375 431.392 286.893
  3 0.0625 432.14 290.12
  4 0.0875 432.452 288.295
  5 0.1125 432.056 287.611
  6 0.1375 432.85 296.348
  7 0.1625 432.45 293.36
  8 0.1875 431.616 293.243
  9 0.2125 432.788 291.118
  10 0.2375 431.488 298.041
  11 0.2625 432.444 298.271
  12 0.2875 431.854 297.186
  13 0.3125 431.708 298.076
  14 0.3375 431.116 302.702
  15 0.3625 432.85 303.846
  16 0.3875 431.84 305.017
  17 0.4125 431.8 307.752
  18 0.4375 433.082 308.192
  19 0.4625 431.6 309.459
  20 0.4875 432.084 312.037
  21 0.5125 432.618 309.169
