# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 5760
  1 0.0125 143.694 298.233
  2 0.0375 143.998 299.044
  3 0.0625 143.942 297.62
  4 0.0875 143.72 298.289
  5 0.1125 144.09 302.811
  6 0.1375 143.806 301.55
  7 0.1625 143.96 296.694
  8 0.1875 144.26 305.808
  9 0.2125 144.412 298.387
  10 0.2375 144.006 299.467
  11 0.2625 144.174 295.948
  12 0.2875 143.58 292.375
  13 0.3125 143.9 290.581
  14 0.3375 144.17 297.147
  15 0.3625 144.276 298.22
  16 0.3875 144.046 297.984
  17 0.4125 144.178 297.461
  18 0.4375 143.676 298.714
  19 0.4625 143.936 299.925
  20 0.4875 144.126 296.862
  21 0.5125 144.2 302.28
  22 0.5375 143.874 306.326
  23 0.5625 143.724 315.726
  24 0.5875 144.52 314.493
  25 0.6125 143.908 311.416
  26 0.6375 144.06 310.619
  27 0.6625 143.718 306.886
  28 0.6875 143.884 306.813
  29 0.7125 144.472 312.869
  30 0.7375 143.646 310.164
  31 0.7625 144.552 307.041
  32 0.7875 143.264 307.591
  33 0.8125 144.228 306.517
  34 0.8375 143.962 305.688
  35 0.8625 143.908 304.611
  36 0.8875 143.782 305.129
  37 0.9125 144.592 295.148
  38 0.9375 143.678 296.367
  39 0.9625 143.832 297.38
  40 0.9875 144.246 293.202
10000 40 5760.000000000001
  1 0.0125 144.558 295.755
  2 0.0375 143.932 293.377
  3 0.0625 144.216 292.902
  4 0.0875 144.098 292.365
  5 0.1125 143.81 290.791
  6 0.1375 143.71 292.386
  7 0.1625 144.248 290.152
  8 0.1875 143.316 295.827
  9 0.2125 143.83 299.763
  10 0.2375 144.178 299.45
  11 0.2625 143.804 303.961
  12 0.2875 144.082 306.999
  13 0.3125 143.668 304.171
  14 0.3375 143.9 295.856
  15 0.3625 144.294 294.313
  16 0.3875 143.752 294.4
  17 0.4125 144.416 299.896
  18 0.4375 143.422 305.353
  19 0.4625 144.118 307.462
  20 0.4875 144.24 307.362
  21 0.5125 143.71 313.304
  22 0.5375 143.666 319.924
  23 0.5625 144.488 319.394
  24 0.5875 144.1 316.228
  25 0.6125 144.386 317.256
  26 0.6375 143.6 312.465
  27 0.6625 144.02 307.288
  28 0.6875 144.04 305.319
  29 0.7125 143.644 298.133
  30 0.7375 144.626 300.576
  31 0.7625 143.898 302.92
  32 0.7875 144.36 297.411
  33 0.8125 143.586 300.615
  34 0.8375 144.33 298.555
  35 0.8625 144.304 298.863
  36 0.8875 143.852 299.037
  37 0.9125 144.184 296.864
  38 0.9375 143.884 299.789
  39 0.9625 144.332 304.074
  40 0.9875 143.398 307.584
15000 40 5760.000000000001
  1 0.0125 143.602 296.213
  2 0.0375 144.01 292.788
  3 0.0625 144.144 290.424
  4 0.0875 144.51 295.051
  5 0.1125 144.304 291.739
  6 0.1375 143.81 290.698
  7 0.1625 144.286 295.643
  8 0.1875 143.758 301.694
  9 0.2125 144.226 304.032
  10 0.2375 144.35 302.614
  11 0.2625 144.422 299.88
  12 0.2875 144.032 302.983
  13 0.3125 143.598 304.775
  14 0.3375 143.008 305.898
  15 0.3625 144.632 307.042
  16 0.3875 143.84 301.502
  17 0.4125 144.702 296.163
  18 0.4375 143.638 301.213
  19 0.4625 143.752 305.253
  20 0.4875 144.564 307.857
  21 0.5125 143.468 310.504
  22 0.5375 144.98 310.664
  23 0.5625 143.958 313.838
  24 0.5875 144.35 312.048
  25 0.6125 143.27 307.152
  26 0.6375 144.01 300.378
  27 0.6625 143.892 302.222
  28 0.6875 143.956 305.489
  29 0.7125 145.086 303.197
  30 0.7375 143.098 310.932
  31 0.7625 143.698 304.695
  32 0.7875 144.02 298.198
  33 0.8125 143.6 303.653
  34 0.8375 143.89 304.619
  35 0.8625 143.884 300.651
  36 0.8875 144.074 295.59
  37 0.9125 143.998 297.334
  38 0.9375 143.83 303.307
  39 0.9625 143.704 304.654
  40 0.9875 144.046 297.372
20000 40 5760
  1 0.0125 144.414 289.632
  2 0.0375 144.078 287.426
  3 0.0625 144.168 284.219
  4 0.0875 143.86 290.651
  5 0.1125 144.102 292.782
  6 0.1375 144.182 291.618
  7 0.1625 144.146 295.904
  8 0.1875 143.75 299.49
  9 0.2125 144.292 294.74
  10 0.2375 143.934 295.483
  11 0.2625 143.804 296.82
  12 0.2875 144.542 301.424
  13 0.3125 144.09 301.673
  14 0.3375 143.232 307.967
  15 0.3625 144.598 303.337
  16 0.3875 144.06 298.129
  17 0.4125 143.514 306.806
  18 0.4375 144.538 304.615
  19 0.4625 143.984 311.26
  20 0.4875 143.858 316.859
  21 0.5125 143.958 316.828
  22 0.5375 143.74 315.366
  23 0.5625 143.67 315.78
  24 0.5875 144.006 318.893
  25 0.6125 143.7 311.594
  26 0.6375 144.158 311.99
  27 0.6625 143.828 307.94
  28 0.6875 144.128 303.662
  29 0.7125 143.494 304.318
  30 0.7375 144.008 306.271
  31 0.7625 144.036 307.487
  32 0.7875 144.128 301.15
  33 0.8125 143.656 301.138
  34 0.8375 144.258 299.124
  35 0.8625 143.736 294.243
  36 0.8875 144.198 299.733
  37 0.9125 143.868 301.467
  38 0.9375 144.16 303.857
  39 0.9625 144.136 295.546
