# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
205000 40 8640
  1 0.0125 216.232 285.276
  2 0.0375 215.694 283.126
  3 0.0625 216.158 281.062
  4 0.0875 216.368 286.97
  5 0.1125 215.698 285.858
  6 0.1375 215.802 291.361
  7 0.1625 215.88 291.334
  8 0.1875 216.068 289.93
  9 0.2125 215.826 291.096
  10 0.2375 216.454 303.186
  11 0.2625 215.692 302.063
  12 0.2875 216.008 296.525
  13 0.3125 215.976 297.804
  14 0.3375 215.436 299.123
  15 0.3625 216.304 301.247
  16 0.3875 216.07 306.067
  17 0.4125 215.992 305.962
  18 0.4375 215.286 302.441
  19 0.4625 216.072 300.32
  20 0.4875 215.856 306.441
  21 0.5125 215.742 312.179
  22 0.5375 215.914 321.745
  23 0.5625 215.572 325.742
  24 0.5875 216.076 311.581
  25 0.6125 216.62 304.062
  26 0.6375 215.926 301.257
  27 0.6625 215.932 298.256
  28 0.6875 216.03 300.713
  29 0.7125 216.732 299.364
  30 0.7375 216.644 294.623
  31 0.7625 215.202 294.794
  32 0.7875 215.83 290.376
  33 0.8125 216.43 291.562
  34 0.8375 215.176 303.503
  35 0.8625 216.424 300.492
  36 0.8875 216.084 295.054
  37 0.9125 215.568 292.851
  38 0.9375 216.3 295.081
  39 0.9625 216.32 292.136
  40 0.9875 216.606 296.294
210000 40 8640
  1 0.0125 215.23 284.727
  2 0.0375 216.198 284.227
  3 0.0625 216.028 287.356
  4 0.0875 215.946 285.164
  5 0.1125 216.318 287.046
  6 0.1375 216.52 286.937
  7 0.1625 215.244 290.711
  8 0.1875 215.684 286.152
  9 0.2125 216 295.785
  10 0.2375 215.988 304.981
  11 0.2625 215.842 288.161
  12 0.2875 216.842 294.084
  13 0.3125 215.342 296.153
  14 0.3375 216.056 295.831
  15 0.3625 216.536 303.31
  16 0.3875 215.61 306.395
  17 0.4125 216.638 312.702
  18 0.4375 216.11 315.527
  19 0.4625 216.268 315.29
  20 0.4875 215.684 318.963
  21 0.5125 215.944 321.421
  22 0.5375 215.798 320.584
  23 0.5625 216.4 315.633
  24 0.5875 215.972 305.571
  25 0.6125 215.678 300.8
  26 0.6375 216.05 299.265
  27 0.6625 216.66 296.917
  28 0.6875 215.8 292.585
  29 0.7125 215.522 293.351
  30 0.7375 215.914 299.024
  31 0.7625 215.728 304.823
  32 0.7875 215.882 296.438
  33 0.8125 216.564 296.804
  34 0.8375 215.406 298.046
  35 0.8625 215.984 294.92
  36 0.8875 216.358 292.571
  37 0.9125 215.578 293.233
  38 0.9375 216.286 293.429
  39 0.9625 216.336 286.693
  40 0.9875 216.056 286.475
215000 40 8640.000000000002
  1 0.0125 215.196 289.019
  2 0.0375 215.814 286.714
  3 0.0625 216.03 283.372
  4 0.0875 216.374 281.364
  5 0.1125 216.222 283.76
  6 0.1375 215.932 296.067
  7 0.1625 216.05 294.052
  8 0.1875 216.182 293.451
  9 0.2125 216.464 297.146
  10 0.2375 216.844 297.346
  11 0.2625 216.176 299.952
  12 0.2875 216.328 309.985
  13 0.3125 215.908 306.71
  14 0.3375 216.216 294.378
  15 0.3625 215.69 292.759
  16 0.3875 216 306.306
  17 0.4125 216.058 312.884
  18 0.4375 215.784 312.101
  19 0.4625 215.93 311.355
  20 0.4875 216.14 313.96
  21 0.5125 216.466 312.817
  22 0.5375 215.762 317.513
  23 0.5625 216.084 309.769
  24 0.5875 216.438 300.921
  25 0.6125 216.21 295.636
  26 0.6375 215.618 292.643
  27 0.6625 216.162 293.905
  28 0.6875 215.018 298.079
  29 0.7125 216.134 300.761
  30 0.7375 215.444 303.443
  31 0.7625 215.846 295.854
  32 0.7875 216.054 293.919
  33 0.8125 215.968 296.797
  34 0.8375 216.488 296.879
  35 0.8625 215.876 298.238
  36 0.8875 215.996 298.769
  37 0.9125 216.086 293.836
  38 0.9375 215.654 294.516
  39 0.9625 215.994 286.707
  40 0.9875 215.364 283.219
220000 40 8640
  1 0.0125 216.04 284.678
  2 0.0375 216.462 289.761
  3 0.0625 215.97 296.598
  4 0.0875 217.082 294.11
  5 0.1125 216.392 292.582
  6 0.1375 215.772 294.656
  7 0.1625 216.606 302.32
  8 0.1875 215.762 300.085
  9 0.2125 216.006 298.702
  10 0.2375 216.354 295.773
  11 0.2625 215.546 300.161
  12 0.2875 215.872 299.979
  13 0.3125 215.702 299.653
  14 0.3375 216.012 296.866
  15 0.3625 215.764 309.006
  16 0.3875 215.902 299.736
  17 0.4125 215.82 299.855
  18 0.4375 216.27 308.284
  19 0.4625 215.296 307.484
  20 0.4875 216.514 311.672
  21 0.5125 215.548 306.814
  22 0.5375 215.774 305.284
  23 0.5625 215.684 306.9
  24 0.5875 216.61 308.092
  25 0.6125 216.142 305.191
  26 0.6375 216.418 297.359
  27 0.6625 215.768 297.628
  28 0.6875 216.212 298.005
  29 0.7125 216.194 297.166
  30 0.7375 216.326 294.674
  31 0.7625 215.786 296.133
  32 0.7875 215.57 295.414
  33 0.8125 215.91 295.461
  34 0.8375 215.874 292.568
  35 0.8625 216.114 292.06
  36 0.8875 216.018 292.427
  37 0.9125 215.758 292.437
  38 0.9375 216.074 289.777
  39 0.9625 215.778 294.459
  40 0.9875 215.298 287.521
225000 40 8639.999999999998
  1 0.0125 215.728 290.134
  2 0.0375 215.984 294.238
  3 0.0625 215.842 290.089
  4 0.0875 216.502 286.748
  5 0.1125 215.39 290.515
  6 0.1375 215.828 294.783
  7 0.1625 215.64 298.029
  8 0.1875 215.762 301.807
  9 0.2125 215.656 308.586
  10 0.2375 216.364 299.467
  11 0.2625 216.192 301.643
  12 0.2875 216.006 308.167
  13 0.3125 216.514 300.558
  14 0.3375 215.924 293.777
  15 0.3625 215.696 296.573
  16 0.3875 215.568 302.346
  17 0.4125 216.034 308.462
  18 0.4375 215.71 308.506
  19 0.4625 216.68 303.55
  20 0.4875 216.498 309.591
  21 0.5125 215.644 311.841
  22 0.5375 216.376 315.338
  23 0.5625 215.552 307.174
  24 0.5875 216.2 303.853
  25 0.6125 215.366 303.425
  26 0.6375 216.714 302.418
  27 0.6625 216.078 295.102
  28 0.6875 215.948 288.301
  29 0.7125 215.25 286.098
  30 0.7375 216.28 279.698
  31 0.7625 215.958 289.441
  32 0.7875 214.94 297.2
  33 0.8125 216.46 302.309
  34 0.8375 215.614 290.259
  35 0.8625 216.716 291.258
  36 0.8875 215.766 290.55
  37 0.9125 216.908 299.721
  38 0.9375 216.236 298.165
  39 0.9625 216.604 297.806
  40 0.9875 215.872 289.225
230000 40 8640
  1 0.0125 216.188 283.565
  2 0.0375 216.272 290.01
  3 0.0625 215.956 292.809
  4 0.0875 215.31 288.437
  5 0.1125 216.562 292.086
  6 0.1375 216.074 298.706
  7 0.1625 216.33 293.7
  8 0.1875 215.844 293.246
  9 0.2125 215.916 300.131
  10 0.2375 215.964 300.206
  11 0.2625 215.626 305.631
  12 0.2875 215.354 313.139
  13 0.3125 215.824 303.797
  14 0.3375 216.19 296.108
  15 0.3625 216.496 307.28
  16 0.3875 215.578 304.777
  17 0.4125 216.342 300.683
  18 0.4375 215.706 306.711
  19 0.4625 215.794 302.689
  20 0.4875 215.886 301.172
  21 0.5125 216.462 301.027
  22 0.5375 216.296 306.17
  23 0.5625 216.06 309.832
  24 0.5875 215.678 313.344
  25 0.6125 216.104 307.354
  26 0.6375 215.598 306.032
  27 0.6625 216.248 301.101
  28 0.6875 216.154 305.519
  29 0.7125 215.802 300.225
  30 0.7375 216.316 288.372
  31 0.7625 216.126 292.39
  32 0.7875 215.622 295.483
  33 0.8125 216.144 293.059
  34 0.8375 216.29 299.292
  35 0.8625 215.696 289.888
  36 0.8875 216.254 285.836
  37 0.9125 215.696 289.688
  38 0.9375 216.228 292.461
  39 0.9625 215.81 289.59
  40 0.9875 216.204 285.625
235000 40 8640
  1 0.0125 216.064 284.552
