# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 11519.999999999998
  1 0.0125 288.118 280.592
  2 0.0375 288.31 282.994
  3 0.0625 288.796 290.592
  4 0.0875 286.476 295.229
  5 0.1125 288.176 303.919
  6 0.1375 287.45 302.952
  7 0.1625 288.268 298.341
  8 0.1875 287.06 296.725
  9 0.2125 287.464 299.826
  10 0.2375 287.47 301.222
  11 0.2625 288.21 300.438
  12 0.2875 287.036 301.233
  13 0.3125 288.774 296.601
  14 0.3375 286.9 302.635
  15 0.3625 288.846 298.531
  16 0.3875 288.226 297.406
  17 0.4125 288.77 306.368
  18 0.4375 287.62 305.14
  19 0.4625 287.344 302.92
  20 0.4875 288.25 304.023
  21 0.5125 287.784 314.159
  22 0.5375 288.066 312.102
  23 0.5625 288.332 299.927
  24 0.5875 288.996 296.27
  25 0.6125 287.768 297.598
  26 0.6375 288.784 297.26
  27 0.6625 288.576 302.287
  28 0.6875 288.502 305.173
  29 0.7125 288.646 298.697
  30 0.7375 287.876 290.378
  31 0.7625 287.5 291.37
  32 0.7875 288.238 291.147
  33 0.8125 288.144 293.439
  34 0.8375 288.064 306.131
  35 0.8625 287.768 309.269
  36 0.8875 288.368 309.661
  37 0.9125 288.264 297.707
  38 0.9375 287.492 285.452
  39 0.9625 287.402 290.548
  40 0.9875 287.866 287.546
10000 40 11519.999999999998
  1 0.0125 286.966 266.478
  2 0.0375 290.31 268.39
  3 0.0625 287.824 274.343
  4 0.0875 287.17 283.334
  5 0.1125 287.848 297.68
  6 0.1375 288.384 296.579
  7 0.1625 287.428 300.21
  8 0.1875 288.29 290.461
  9 0.2125 287.198 295.105
  10 0.2375 288.392 291.132
  11 0.2625 287.644 302.292
  12 0.2875 287.83 298.166
  13 0.3125 287.772 299.755
  14 0.3375 287.794 302.917
  15 0.3625 288.236 305.32
  16 0.3875 288.186 305.167
  17 0.4125 287.668 312.292
  18 0.4375 289.04 304.77
  19 0.4625 288.838 316.737
  20 0.4875 288.168 311.218
  21 0.5125 286.502 324.946
  22 0.5375 288.378 328.316
  23 0.5625 287.092 321.123
  24 0.5875 288.388 313.871
  25 0.6125 288.528 291.335
  26 0.6375 288.814 298.183
  27 0.6625 288.282 306.215
  28 0.6875 287.626 304.969
  29 0.7125 288.134 295.874
  30 0.7375 288.032 302.53
  31 0.7625 288.008 296.814
  32 0.7875 288.91 292.441
  33 0.8125 288.186 298.587
  34 0.8375 288.17 300.337
  35 0.8625 288.038 299.453
  36 0.8875 288.054 296.695
  37 0.9125 286.956 291.181
  38 0.9375 287.612 289.342
  39 0.9625 287.586 293.962
  40 0.9875 287.718 278.204
15000 40 11520
  1 0.0125 288.822 260.232
  2 0.0375 286.956 255.748
  3 0.0625 288.102 268.826
  4 0.0875 288.41 283.276
  5 0.1125 287.436 291.779
  6 0.1375 287.886 283.481
  7 0.1625 287.776 286.224
  8 0.1875 287.16 295.304
  9 0.2125 287.972 299.866
  10 0.2375 287.186 295.585
  11 0.2625 288.19 289.534
  12 0.2875 288.596 294.009
  13 0.3125 288.25 301.191
  14 0.3375 286.61 314.071
  15 0.3625 288.354 303.475
  16 0.3875 287.692 303.003
  17 0.4125 288.06 323.267
  18 0.4375 288.368 312.354
  19 0.4625 288.232 311.453
  20 0.4875 289.014 319.997
  21 0.5125 287.39 337.261
  22 0.5375 287.812 335.218
  23 0.5625 288.346 329.683
  24 0.5875 287.524 322.256
  25 0.6125 288.484 306.839
  26 0.6375 288.29 304.373
  27 0.6625 287.73 304.198
  28 0.6875 287.952 299.009
  29 0.7125 287.574 295.96
  30 0.7375 287.888 300.994
  31 0.7625 288.06 302.672
  32 0.7875 287.314 303.781
  33 0.8125 287.738 299.503
  34 0.8375 287.834 294.835
  35 0.8625 288.916 292.697
  36 0.8875 288.106 288.392
  37 0.9125 288.96 286.698
  38 0.9375 289.114 282.04
  39 0.9625 287.352 290.388
  40 0.9875 288.544 274.31
20000 40 11519.999999999998
  1 0.0125 288.112 261.265
  2 0.0375 287.69 258.465
  3 0.0625 288.208 272.85
  4 0.0875 288.248 282.551
  5 0.1125 287.48 286.748
  6 0.1375 287.756 283.463
  7 0.1625 287.976 287.586
  8 0.1875 288.406 290.945
  9 0.2125 287.39 292.087
  10 0.2375 288.38 297.317
  11 0.2625 288.25 294.599
  12 0.2875 286.984 293.46
  13 0.3125 287.522 293.514
  14 0.3375 286.986 304.649
  15 0.3625 288.332 305.658
  16 0.3875 287.884 306.351
  17 0.4125 287.01 310.455
  18 0.4375 288.812 323.384
  19 0.4625 289.07 322.904
  20 0.4875 288.28 322.392
  21 0.5125 287.192 348.936
  22 0.5375 286.974 341.791
  23 0.5625 287.474 331.517
  24 0.5875 288.286 314.07
  25 0.6125 288.01 317.552
  26 0.6375 288.298 318.287
  27 0.6625 289.27 312.288
  28 0.6875 288.076 301.22
  29 0.7125 288.766 301.912
  30 0.7375 288.818 301.567
  31 0.7625 288.526 299.139
  32 0.7875 288.582 305.885
  33 0.8125 288.354 301.013
  34 0.8375 287.606 301.154
  35 0.8625 287.028 288.766
  36 0.8875 287.374 280.244
  37 0.9125 288.132 273.888
  38 0.9375 288.31 277.273
  39 0.9625 287.586 273.436
  40 0.9875 288.562 264.283
25000 40 11520
  1 0.0125 288.428 254.946
  2 0.0375 288.54 250.413
  3 0.0625 287.712 272.248
  4 0.0875 287.134 279.578
  5 0.1125 288.308 282.045
  6 0.1375 287.914 285.42
  7 0.1625 287.424 287.15
  8 0.1875 288.388 287.836
  9 0.2125 287.688 292.323
  10 0.2375 287.448 297.246
  11 0.2625 287.204 298.315
  12 0.2875 287.396 295.369
  13 0.3125 287.96 299.159
  14 0.3375 287.078 300.673
  15 0.3625 288.642 309.741
  16 0.3875 288.196 313.897
  17 0.4125 288.25 313.885
  18 0.4375 288.978 318.164
  19 0.4625 287.75 320.178
  20 0.4875 288.072 332.41
  21 0.5125 287.984 350.91
  22 0.5375 287.656 351.474
  23 0.5625 288.582 333.853
  24 0.5875 288.628 326.146
  25 0.6125 289.124 310.968
  26 0.6375 288.062 312.092
  27 0.6625 287.68 320.353
  28 0.6875 288.146 303.244
  29 0.7125 287.934 302.169
  30 0.7375 288.928 303.704
  31 0.7625 287.776 306.774
  32 0.7875 288.532 301.333
  33 0.8125 287.628 292.022
  34 0.8375 288.946 294.375
  35 0.8625 287.154 292.87
  36 0.8875 287.87 279.573
  37 0.9125 288.114 276.022
  38 0.9375 287.446 271.101
  39 0.9625 287.238 263.917
  40 0.9875 288.062 257.592
30000 40 11520.000000000002
  1 0.0125 287.158 250.862
  2 0.0375 288.146 250.477
  3 0.0625 287.262 260.918
  4 0.0875 287.604 269.388
  5 0.1125 288.016 278.339
  6 0.1375 287.868 283.597
  7 0.1625 287.096 282.192
  8 0.1875 288.316 288.108
  9 0.2125 287.446 293.615
  10 0.2375 288.376 301.068
  11 0.2625 287.436 291.388
  12 0.2875 287.946 294.695
  13 0.3125 288.244 308.807
  14 0.3375 288.012 310.175
  15 0.3625 287.926 310.973
  16 0.3875 287.376 313.709
  17 0.4125 288.39 312.017
  18 0.4375 287.532 331.021
  19 0.4625 288.816 332.004
  20 0.4875 286.848 333.329
  21 0.5125 287.93 349.736
  22 0.5375 287.918 347.825
  23 0.5625 288.398 315.595
  24 0.5875 288.802 321.047
  25 0.6125 288.656 326.401
  26 0.6375 287.746 317.019
  27 0.6625 289.194 315.396
  28 0.6875 287.09 302.941
  29 0.7125 288.268 307.061
  30 0.7375 288.97 303.604
  31 0.7625 288.934 296.396
  32 0.7875 287.876 293.198
  33 0.8125 287.92 296.576
  34 0.8375 287.76 300.775
  35 0.8625 289.26 295.734
  36 0.8875 287.662 281.936
  37 0.9125 288.054 274.754
  38 0.9375 288.334 275.113
  39 0.9625 287.752 270.696
  40 0.9875 287.662 255.588
35000 40 11520.000000000002
  1 0.0125 287.512 244.494
  2 0.0375 288.484 241.274
  3 0.0625 287.812 249.346
  4 0.0875 287.598 274.151
  5 0.1125 287.942 275.704
  6 0.1375 287.126 281.768
  7 0.1625 288.65 283.99
  8 0.1875 287.48 294.71
  9 0.2125 288.532 300.043
  10 0.2375 287.848 296.784
  11 0.2625 288.256 298.338
  12 0.2875 287.634 295.259
  13 0.3125 288.244 299.411
  14 0.3375 288.79 305.572
  15 0.3625 287.524 311.162
  16 0.3875 287.494 313.543
  17 0.4125 288.71 312.844
  18 0.4375 287.674 328.927
  19 0.4625 287.452 334.841
  20 0.4875 288.274 339.703
  21 0.5125 288.416 340.81
  22 0.5375 288.138 347.32
  23 0.5625 287.942 327.719
  24 0.5875 288.01 324.176
  25 0.6125 288.784 314.23
  26 0.6375 288.018 320.105
  27 0.6625 288.12 316.421
  28 0.6875 287.478 313.261
  29 0.7125 288.086 304.392
  30 0.7375 288.474 299.127
  31 0.7625 287.272 288.373
  32 0.7875 287.462 292.595
  33 0.8125 288.118 296.485
  34 0.8375 288.106 304.132
  35 0.8625 286.922 296.28
  36 0.8875 288.79 280.69
  37 0.9125 288.75 283.403
  38 0.9375 287.832 281.972
  39 0.9625 288.384 269.23
  40 0.9875 287.862 261.003
40000 40 11520.000000000004
  1 0.0125 288.98 248.765
  2 0.0375 287.426 242.755
  3 0.0625 286.868 255.904
  4 0.0875 288.65 264.328
  5 0.1125 287.064 272.679
  6 0.1375 289.148 283.787
  7 0.1625 288.11 282.462
  8 0.1875 286.94 293.982
  9 0.2125 286.834 291.252
  10 0.2375 288.718 289.229
  11 0.2625 288.474 295.679
  12 0.2875 287.78 302.489
  13 0.3125 287.604 303.234
  14 0.3375 288.692 307.502
  15 0.3625 288.856 315.384
  16 0.3875 287.2 312.972
  17 0.4125 287.71 313.577
  18 0.4375 287.43 314.174
  19 0.4625 288.666 331.984
  20 0.4875 289.408 346.445
  21 0.5125 288.426 353.135
  22 0.5375 288.284 348.793
  23 0.5625 288.314 337.215
  24 0.5875 287.204 331.39
  25 0.6125 287.282 308.968
  26 0.6375 287.822 314.592
  27 0.6625 287.542 311.656
  28 0.6875 287.374 309.185
  29 0.7125 288.298 305.04
  30 0.7375 287.592 291.259
  31 0.7625 288.356 297.339
  32 0.7875 287.886 303.743
  33 0.8125 288.13 293.812
  34 0.8375 288.244 299.911
  35 0.8625 288.01 299.987
  36 0.8875 288.472 276.586
  37 0.9125 287.196 277.194
  38 0.9375 287.876 277.609
  39 0.9625 289.076 278.279
  40 0.9875 288.058 260.694
45000 40 11519.999999999996
  1 0.0125 287.894 242.834
  2 0.0375 288.008 242.234
  3 0.0625 287.554 262.177
  4 0.0875 288.114 259.304
  5 0.1125 288.188 264.551
  6 0.1375 288.208 283.805
  7 0.1625 287.714 293.863
  8 0.1875 287.956 291.728
  9 0.2125 288.178 299.764
  10 0.2375 288.352 296.804
  11 0.2625 288.25 300.425
  12 0.2875 287 298.514
  13 0.3125 287.85 301.187
  14 0.3375 286.652 303.151
  15 0.3625 289.298 306.402
  16 0.3875 287.424 309.62
  17 0.4125 288.42 318.754
  18 0.4375 287.012 330.326
  19 0.4625 288.74 333.907
  20 0.4875 287.732 333.458
  21 0.5125 287.834 344.667
  22 0.5375 288.134 351.137
  23 0.5625 288.802 337.512
  24 0.5875 287.816 334.639
  25 0.6125 288.166 317.279
  26 0.6375 287.444 312.215
  27 0.6625 287.272 304.953
  28 0.6875 288.864 304.243
  29 0.7125 288.124 314.034
  30 0.7375 288.998 298.442
  31 0.7625 287.97 294.081
  32 0.7875 288.034 295.48
  33 0.8125 287.612 298.878
  34 0.8375 287.732 293.681
  35 0.8625 287.654 292.944
  36 0.8875 288.312 280.794
  37 0.9125 288.374 283.928
  38 0.9375 288.138 272.586
  39 0.9625 288.06 274.832
  40 0.9875 288.116 263.303
50000 40 11519.999999999996
  1 0.0125 287.958 253.319
  2 0.0375 287.956 252.259
  3 0.0625 288.23 267.966
  4 0.0875 286.87 264.023
  5 0.1125 287.748 269.598
  6 0.1375 287.9 282.879
  7 0.1625 287.58 297.65
  8 0.1875 287.49 296.141
  9 0.2125 288.672 298.103
  10 0.2375 288.152 297.914
  11 0.2625 287.286 298.364
  12 0.2875 287.732 301.213
  13 0.3125 287.602 306.344
  14 0.3375 287.682 298.243
  15 0.3625 287.486 305.675
  16 0.3875 287.792 312.228
  17 0.4125 287.612 320.577
  18 0.4375 288.262 331.011
  19 0.4625 287.432 331.13
  20 0.4875 288.08 334.787
  21 0.5125 286.988 354.609
  22 0.5375 288.23 348.09
  23 0.5625 287.886 323.608
  24 0.5875 288.566 331.126
  25 0.6125 288.366 320.976
  26 0.6375 288.652 310.416
  27 0.6625 288.048 301.221
  28 0.6875 287.82 307.984
  29 0.7125 288.554 305.147
  30 0.7375 288.518 303.091
  31 0.7625 288.418 300.521
  32 0.7875 288.268 296.821
  33 0.8125 288.666 296.444
  34 0.8375 287.61 294.09
  35 0.8625 288.898 284.56
  36 0.8875 288.646 280.352
  37 0.9125 287.844 272.192
  38 0.9375 288.612 271.288
  39 0.9625 287.864 264.493
  40 0.9875 288.024 257.31
55000 40 11519.999999999996
  1 0.0125 287.678 240.719
  2 0.0375 288.314 250.938
  3 0.0625 288.316 270.254
  4 0.0875 288.442 272.618
