# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
5000 40 5759.999999999999
  1 0.0125 145.014 279.227
  2 0.0375 144.448 275.314
  3 0.0625 143.778 284.942
  4 0.0875 144.788 287.27
  5 0.1125 144.35 291.097
  6 0.1375 144.138 292.235
  7 0.1625 143.356 299.36
  8 0.1875 144.304 294.149
  9 0.2125 142.94 299.236
  10 0.2375 144.948 291.793
  11 0.2625 144.414 287.293
  12 0.2875 143.44 295.225
  13 0.3125 144.008 300.033
  14 0.3375 144.06 298.335
  15 0.3625 143.3 305.069
  16 0.3875 144.718 297.788
  17 0.4125 144.402 298.02
  18 0.4375 144.754 298.483
  19 0.4625 143.036 311.733
  20 0.4875 144.404 321.662
  21 0.5125 142.954 341.496
  22 0.5375 144.46 327.151
  23 0.5625 144.42 321.602
  24 0.5875 144.21 308.28
  25 0.6125 144.518 302.81
  26 0.6375 144.284 298.835
  27 0.6625 144.272 295.778
  28 0.6875 143.916 294.197
  29 0.7125 143.904 299.501
  30 0.7375 144.084 300.363
  31 0.7625 143.382 303.051
  32 0.7875 143.686 294.29
  33 0.8125 143.524 293.273
  34 0.8375 143.712 291.497
  35 0.8625 144.474 292.962
  36 0.8875 143.472 293.952
  37 0.9125 144.072 302.59
  38 0.9375 143.876 292.481
  39 0.9625 143.762 287.065
  40 0.9875 142.418 286.168
10000 40 5760.000000000001
  1 0.0125 143.924 270.972
  2 0.0375 143.396 269.926
  3 0.0625 143.768 280.781
  4 0.0875 143.392 282.857
  5 0.1125 144.3 288.063
  6 0.1375 144.078 283.727
  7 0.1625 143.918 283.341
  8 0.1875 143.998 287.729
  9 0.2125 143.294 286.708
  10 0.2375 144.06 292.305
  11 0.2625 143.948 298.17
  12 0.2875 144.552 298.947
  13 0.3125 144.182 303.595
  14 0.3375 143.606 304.695
  15 0.3625 143.716 305.106
  16 0.3875 144.398 305.818
  17 0.4125 143.858 307.998
  18 0.4375 143.884 313.737
  19 0.4625 144.38 321.156
  20 0.4875 144.308 320.352
  21 0.5125 144.858 342.09
  22 0.5375 144.014 340.527
  23 0.5625 143.778 323.695
  24 0.5875 144.25 316.507
  25 0.6125 143.772 311.184
  26 0.6375 144.636 302.11
  27 0.6625 143.972 304.96
  28 0.6875 143.698 308.853
  29 0.7125 144.866 304.098
  30 0.7375 144.03 296.405
  31 0.7625 143.184 297.657
  32 0.7875 144.664 291.879
  33 0.8125 144.232 286.99
  34 0.8375 143.168 287.883
  35 0.8625 143.948 296.994
  36 0.8875 143.988 282.538
  37 0.9125 144.1 289.149
  38 0.9375 143.526 287.795
  39 0.9625 144.87 281.27
  40 0.9875 143.486 275.379
15000 40 5760.000000000001
  1 0.0125 144.918 267.183
  2 0.0375 144.636 268.338
  3 0.0625 144.664 276.818
  4 0.0875 144.778 278.961
  5 0.1125 143.838 283.832
  6 0.1375 144.19 279.357
  7 0.1625 143.272 278.734
  8 0.1875 143.722 274.24
  9 0.2125 146.358 283.325
  10 0.2375 143.792 281.529
  11 0.2625 143.95 298.786
  12 0.2875 143.594 302.781
  13 0.3125 144.82 296.968
  14 0.3375 144.364 300.187
  15 0.3625 143.566 298.341
  16 0.3875 144.698 304.068
  17 0.4125 142.436 310.471
  18 0.4375 144.22 304.422
  19 0.4625 143.888 310.879
  20 0.4875 143.744 329.626
  21 0.5125 143.8 347.753
  22 0.5375 144.44 334.183
  23 0.5625 143.19 326.157
  24 0.5875 143.88 327.053
  25 0.6125 143.504 324.883
  26 0.6375 143.816 315.955
  27 0.6625 143.65 306.825
  28 0.6875 143.926 305.357
  29 0.7125 143.488 306.704
  30 0.7375 143.742 293.293
  31 0.7625 143.564 301.531
  32 0.7875 143.908 298.98
  33 0.8125 143.774 298.897
  34 0.8375 143.546 293.844
  35 0.8625 143.996 295.446
  36 0.8875 144.284 292.556
  37 0.9125 143.812 290.513
  38 0.9375 144.096 287.087
  39 0.9625 143.806 284.881
  40 0.9875 144.33 277.591
20000 40 5760.000000000002
  1 0.0125 144.694 261.317
  2 0.0375 144.122 259.798
  3 0.0625 142.842 274.228
  4 0.0875 144.182 281.932
  5 0.1125 143.366 279.478
  6 0.1375 143.812 278.544
  7 0.1625 143.354 281.935
  8 0.1875 144.166 285.968
  9 0.2125 143.592 288.234
  10 0.2375 143.9 284.678
  11 0.2625 143.776 289.734
  12 0.2875 143.456 295.385
  13 0.3125 143.932 295.555
  14 0.3375 143.172 299.259
  15 0.3625 144.648 295.96
  16 0.3875 143.96 299.551
  17 0.4125 144.054 303.002
  18 0.4375 144.424 306.546
  19 0.4625 144.254 312.646
  20 0.4875 143.88 329.626
  21 0.5125 144.476 351.172
  22 0.5375 144.542 338.682
  23 0.5625 142.898 325.97
  24 0.5875 145.062 320.673
  25 0.6125 144.234 322.755
  26 0.6375 143.848 314.153
  27 0.6625 143.378 310.382
  28 0.6875 143.76 308.268
  29 0.7125 144.454 299.199
  30 0.7375 144.628 302.249
  31 0.7625 144.754 302.855
  32 0.7875 144.1 294.844
  33 0.8125 143.52 298.154
  34 0.8375 144.63 298.303
  35 0.8625 143.768 298.956
  36 0.8875 143.796 296.596
  37 0.9125 144.686 295.405
  38 0.9375 144.024 293.996
  39 0.9625 144.216 282.842
  40 0.9875 143.64 270.977
25000 40 5759.999999999998
  1 0.0125 144.582 256.459
  2 0.0375 143.962 259.337
  3 0.0625 144.196 266.223
  4 0.0875 144.18 269.394
  5 0.1125 143.25 277.739
