# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
205000 40 5760
  34 0.8375 143.686 298.071
  35 0.8625 144.686 297.075
  36 0.8875 143.972 297.49
  37 0.9125 144.004 296.084
  38 0.9375 143.874 293.761
  39 0.9625 144.136 290.377
  40 0.9875 144.176 289.253
230000 40 5759.999999999999
  1 0.0125 144.378 284.563
  2 0.0375 143.898 283.026
  3 0.0625 144.324 286.98
  4 0.0875 144.198 292.735
  5 0.1125 143.96 300.244
  6 0.1375 143.896 301.105
  7 0.1625 144.202 301.294
  8 0.1875 143.762 291.625
  9 0.2125 143.752 292.836
  10 0.2375 144.084 293.883
  11 0.2625 143.924 297.092
  12 0.2875 144.118 302.861
  13 0.3125 144.098 305.091
  14 0.3375 144.074 307.51
  15 0.3625 143.812 309.548
  16 0.3875 143.866 308.31
  17 0.4125 143.906 308.42
  18 0.4375 143.62 308.063
  19 0.4625 143.788 308.523
  20 0.4875 143.28 303.482
  21 0.5125 144 303.059
  22 0.5375 144.064 306.236
  23 0.5625 144.638 308.708
  24 0.5875 143.634 313.784
  25 0.6125 143.652 309.054
  26 0.6375 144.32 303.738
  27 0.6625 143.888 308.044
  28 0.6875 144.612 306.897
  29 0.7125 144.292 312.88
  30 0.7375 143.638 312.519
  31 0.7625 144.472 306.26
  32 0.7875 143.8 306.417
  33 0.8125 143.78 301.74
  34 0.8375 144.016 302.384
  35 0.8625 144.016 298.738
  36 0.8875 144.2 301.209
  37 0.9125 143.642 301.249
  38 0.9375 144.796 299.534
  39 0.9625 143.934 297.653
  40 0.9875 143.666 290.618
235000 40 5760.000000000001
  1 0.0125 143.872 301.442
  2 0.0375 144.408 300.952
  3 0.0625 143.862 303.245
  4 0.0875 143.918 300.6
  5 0.1125 144.06 299.072
  6 0.1375 144.064 299.446
  7 0.1625 144.242 301.197
  8 0.1875 143.652 294.823
  9 0.2125 144.544 297.242
  10 0.2375 143.582 299.102
  11 0.2625 144.622 295.646
  12 0.2875 144.072 298.138
  13 0.3125 144.114 299.528
  14 0.3375 144.116 291.657
  15 0.3625 143.478 302.651
  16 0.3875 143.942 303.806
  17 0.4125 144.124 306.349
  18 0.4375 144.26 303.309
  19 0.4625 143.522 300.097
  20 0.4875 144.028 301.235
  21 0.5125 144.408 304.781
  22 0.5375 144.176 303.017
  23 0.5625 143.78 307.608
  24 0.5875 143.648 315.309
  25 0.6125 143.764 312.046
  26 0.6375 144.474 301.546
  27 0.6625 143.882 298.465
  28 0.6875 144.176 298.481
  29 0.7125 143.858 301.871
  30 0.7375 143.238 306.497
  31 0.7625 144.124 300.113
  32 0.7875 144.33 304.966
  33 0.8125 143.834 303.485
  34 0.8375 143.462 302.053
  35 0.8625 144.674 296.016
