# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
405000 40 11520
  34 0.8375 288.808 289.396
  35 0.8625 288.29 279.29
  36 0.8875 288.552 276.305
  37 0.9125 287.994 281.079
  38 0.9375 288.536 278.929
  39 0.9625 288.15 262.213
  40 0.9875 288.488 254.937
430000 40 11519.999999999998
  1 0.0125 288.052 250.877
  2 0.0375 288.494 234.969
  3 0.0625 288.448 257.176
  4 0.0875 287.474 263.341
  5 0.1125 288.822 273.926
  6 0.1375 288.696 274.014
  7 0.1625 287.77 279.205
  8 0.1875 288.576 294.359
  9 0.2125 288.526 287.964
  10 0.2375 287.944 293.621
  11 0.2625 288.186 304.427
  12 0.2875 287.546 293.592
  13 0.3125 287.95 308.365
  14 0.3375 287.642 308.993
  15 0.3625 287.53 309.647
  16 0.3875 287.582 320.424
  17 0.4125 286.954 316.562
  18 0.4375 287.334 319.101
  19 0.4625 288.922 330.127
  20 0.4875 287.37 346.708
  21 0.5125 287.636 353.662
  22 0.5375 287.214 352.415
  23 0.5625 287.93 338.561
  24 0.5875 287.914 329.333
  25 0.6125 286.496 324.251
  26 0.6375 288.486 320.233
  27 0.6625 287.948 318.45
  28 0.6875 288.364 311.985
  29 0.7125 288.292 307.871
  30 0.7375 288.34 294.804
  31 0.7625 287.744 286.575
  32 0.7875 289.07 297.645
  33 0.8125 287.886 294.918
  34 0.8375 288.572 294.143
  35 0.8625 287.88 292.906
  36 0.8875 287.848 276.592
  37 0.9125 288.616 281.187
  38 0.9375 288.542 272.471
  39 0.9625 287.314 268.688
  40 0.9875 288.09 259.989
435000 40 11520
  1 0.0125 289.468 246.214
  2 0.0375 288.112 245.128
  3 0.0625 288.232 256.204
  4 0.0875 288.272 262.552
  5 0.1125 287.724 274.406
  6 0.1375 288.25 280.9
  7 0.1625 287.988 280.412
  8 0.1875 288.362 288.901
  9 0.2125 287.372 291.109
  10 0.2375 288.528 299.822
  11 0.2625 288.546 306.471
  12 0.2875 288.018 297.495
  13 0.3125 287.638 295.97
  14 0.3375 288.056 297.267
  15 0.3625 288.24 304.026
  16 0.3875 288.292 313.335
  17 0.4125 288.232 325.199
  18 0.4375 288.344 320.721
  19 0.4625 289.06 326.412
  20 0.4875 288.78 339.191
  21 0.5125 288.8 360.482
  22 0.5375 287.428 352.092
  23 0.5625 288.348 342.41
  24 0.5875 287.852 339.625
  25 0.6125 288.142 325.763
  26 0.6375 287.552 316.84
  27 0.6625 287.15 306.875
  28 0.6875 288.174 302.152
  29 0.7125 287.148 297.915
  30 0.7375 288.22 300.636
  31 0.7625 286.528 312.707
  32 0.7875 286.484 306.592
  33 0.8125 288.402 288.85
  34 0.8375 287.226 288.153
  35 0.8625 287.36 289.231
  36 0.8875 288.078 279.735
  37 0.9125 286.916 273.491
  38 0.9375 289.442 269.722
  39 0.9625 287.576 272.795
  40 0.9875 287.66 265.08
440000 40 11520
  1 0.0125 288.552 242.086
  2 0.0375 286.946 251.106
  3 0.0625 288.388 261.355
  4 0.0875 287.312 265.8
  5 0.1125 287.868 271.03
  6 0.1375 288.722 272.543
  7 0.1625 287.052 278.722
  8 0.1875 288.696 287.508
  9 0.2125 288.766 287.384
  10 0.2375 288.31 298.353
  11 0.2625 288.89 296.05
  12 0.2875 288.002 305.344
  13 0.3125 287.956 308.849
  14 0.3375 289.442 300.835
  15 0.3625 286.92 304.164
  16 0.3875 288.99 306.562
  17 0.4125 287.64 315.058
  18 0.4375 287.53 322.899
  19 0.4625 287.928 332.636
  20 0.4875 287.278 347.537
  21 0.5125 287.792 357.283
  22 0.5375 288.23 351.943
  23 0.5625 286.946 347.157
  24 0.5875 287.806 337.039
  25 0.6125 288.026 328.647
  26 0.6375 287.778 322.911
  27 0.6625 289.648 320.182
  28 0.6875 288.086 313.567
  29 0.7125 287.844 298.126
  30 0.7375 288.694 296.86
  31 0.7625 288.666 291.759
  32 0.7875 287 296.057
  33 0.8125 288.534 292.572
  34 0.8375 287.826 296.115
  35 0.8625 287.74 291.833
  36 0.8875 287.458 276.288
  37 0.9125 287.208 270.773
  38 0.9375 287.832 268.338
  39 0.9625 287.48 274.062
  40 0.9875 288.218 255.259
445000 40 11520
  1 0.0125 288.718 241.829
  2 0.0375 288.512 244.732
  3 0.0625 288.498 257.25
  4 0.0875 288.458 257.303
  5 0.1125 287.9 267.633
  6 0.1375 286.946 267.062
  7 0.1625 288.744 278.735
  8 0.1875 287.184 284.486
  9 0.2125 286.858 294.065
  10 0.2375 288.212 298.092
  11 0.2625 287.662 298.427
  12 0.2875 288.808 295.556
  13 0.3125 287.444 303.808
  14 0.3375 288.046 304.567
  15 0.3625 288.138 301.562
  16 0.3875 287.87 313.833
  17 0.4125 287.526 330.601
  18 0.4375 287.964 325.861
  19 0.4625 287.796 339.831
  20 0.4875 288.646 353.704
  21 0.5125 288.34 358.93
  22 0.5375 288.096 354.043
  23 0.5625 288.244 331.813
  24 0.5875 288.662 335.486
  25 0.6125 286.806 326.696
  26 0.6375 289.688 312.671
  27 0.6625 286.576 316.912
  28 0.6875 289.448 320.183
  29 0.7125 287.32 308.64
  30 0.7375 288.198 306.936
  31 0.7625 288.364 291.713
  32 0.7875 289.066 293.53
  33 0.8125 287.3 296.955
  34 0.8375 287.87 286.845
  35 0.8625 287.704 284.301
  36 0.8875 287.674 286.145
  37 0.9125 287.844 277.648
  38 0.9375 287.44 270.2
  39 0.9625 287.992 270.716
  40 0.9875 287.438 255.021
450000 40 11520.000000000002
  1 0.0125 288.358 248.211
  2 0.0375 288.148 240.313
  3 0.0625 287.076 255.007
  4 0.0875 289.024 251.783
  5 0.1125 287.408 262.9
  6 0.1375 287.72 264.671
  7 0.1625 288.598 280.477
  8 0.1875 287.916 284.576
  9 0.2125 286.762 289.327
  10 0.2375 287.836 284.641
  11 0.2625 288.55 297.928
  12 0.2875 288.22 305.288
  13 0.3125 288.144 306.47
  14 0.3375 287.862 317.006
  15 0.3625 288.942 317.515
  16 0.3875 287.78 315.16
  17 0.4125 287.634 326.756
  18 0.4375 287.214 330.291
  19 0.4625 288.468 331.948
  20 0.4875 287.852 338.221
  21 0.5125 287.22 351.456
  22 0.5375 288.944 354.859
  23 0.5625 288.12 344.299
  24 0.5875 287.398 329.409
  25 0.6125 287.976 332.804
  26 0.6375 288.056 319.608
  27 0.6625 287.488 315.503
  28 0.6875 287.866 309.344
  29 0.7125 287.816 304.719
  30 0.7375 287.324 304.868
  31 0.7625 287.032 302.996
  32 0.7875 288.574 289.889
  33 0.8125 288.316 291.123
  34 0.8375 287.418 287.498
  35 0.8625 289.09 286.438
  36 0.8875 287.896 282.308
  37 0.9125 288.91 288.024
  38 0.9375 287.374 268.778
  39 0.9625 288.834 267.326
  40 0.9875 288.836 265.139
455000 40 11519.999999999998
  1 0.0125 287.492 239.971
  2 0.0375 288.328 247.847
  3 0.0625 287.278 260.473
  4 0.0875 288.83 269.455
  5 0.1125 287.46 271.127
  6 0.1375 289.228 273.351
  7 0.1625 288.472 277.711
  8 0.1875 287.68 284.328
  9 0.2125 288.504 284.999
  10 0.2375 288.416 287.051
  11 0.2625 287.38 297.884
  12 0.2875 287.814 299.608
  13 0.3125 287.672 305.864
  14 0.3375 287.658 309.4
  15 0.3625 288.794 322.393
  16 0.3875 288.302 322.972
  17 0.4125 287.434 322.154
  18 0.4375 288 326.696
  19 0.4625 287.494 330.251
  20 0.4875 288.56 348.39
  21 0.5125 288.272 361.665
