# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
405000 40 8639.999999999998
  1 0.0125 216.61 243.847
  2 0.0375 215.594 239.8
  3 0.0625 215.56 250.688
  4 0.0875 215.862 265.013
  5 0.1125 216.848 277.07
  6 0.1375 215.742 281.636
  7 0.1625 216.164 283.61
  8 0.1875 216.426 286.147
  9 0.2125 216.788 286.76
  10 0.2375 216.092 308.231
  11 0.2625 216.004 317.392
  12 0.2875 216.156 318.462
  13 0.3125 216.278 314.944
  14 0.3375 215.314 312.847
  15 0.3625 215.764 317.431
  16 0.3875 216.382 329.238
  17 0.4125 214.85 316.173
  18 0.4375 217.042 318.09
  19 0.4625 215.856 318.529
  20 0.4875 216.05 329.513
  21 0.5125 215.828 351.579
  22 0.5375 215.536 348.916
  23 0.5625 214.912 340.158
  24 0.5875 215.968 332.364
  25 0.6125 216.13 331.439
  26 0.6375 215.65 320.542
  27 0.6625 216.234 314.25
  28 0.6875 216.084 304.377
  29 0.7125 215.966 304.817
  30 0.7375 216.596 303.343
  31 0.7625 216.266 292.75
  32 0.7875 216.756 295.608
  33 0.8125 216.612 295.931
  34 0.8375 215.614 291.102
  35 0.8625 215.824 289.883
  36 0.8875 215.56 287.248
  37 0.9125 215.938 280.451
  38 0.9375 215.408 275.731
  39 0.9625 216.408 276.063
  40 0.9875 215.328 260.474
410000 40 8640
  1 0.0125 216.472 248.616
  2 0.0375 216.302 246.839
  3 0.0625 216.758 254.442
  4 0.0875 215.804 273.278
  5 0.1125 217.08 276.497
  6 0.1375 216.084 279.278
  7 0.1625 216.386 283.957
  8 0.1875 215.778 293.395
  9 0.2125 216.41 298.192
  10 0.2375 215.874 293.649
  11 0.2625 217.04 297.535
  12 0.2875 216.116 311.87
  13 0.3125 216.596 318.048
  14 0.3375 216.286 319.228
  15 0.3625 215.82 314.044
  16 0.3875 214.98 318.926
  17 0.4125 216.906 322.731
  18 0.4375 215.15 325.005
  19 0.4625 216.682 326.887
  20 0.4875 215.848 335.784
  21 0.5125 214.788 346.492
  22 0.5375 216.178 337.005
  23 0.5625 215.83 322.905
  24 0.5875 216.06 322.38
  25 0.6125 216.098 327.433
  26 0.6375 216.082 327.363
  27 0.6625 216.206 322.291
  28 0.6875 215.794 314.432
  29 0.7125 216.562 309.186
  30 0.7375 216.058 301.337
  31 0.7625 215.25 296.075
  32 0.7875 215.476 293.005
  33 0.8125 216.584 295.041
  34 0.8375 214.812 296.248
  35 0.8625 215.454 282.905
  36 0.8875 215.858 277.186
  37 0.9125 215.662 282.313
  38 0.9375 215.102 278.184
  39 0.9625 215.804 278.085
  40 0.9875 215.97 268.176
415000 40 8639.999999999996
  1 0.0125 216.142 255.764
  2 0.0375 216.54 254.047
  3 0.0625 216.376 269.537
  4 0.0875 215.588 274.719
  5 0.1125 216.218 281.609
  6 0.1375 216.326 284.076
  7 0.1625 217.2 284.914
  8 0.1875 214.966 283.741
  9 0.2125 216.104 293.197
  10 0.2375 215.122 289.713
  11 0.2625 215.738 296.36
  12 0.2875 216.118 305.613
  13 0.3125 215.87 310.207
  14 0.3375 216.708 299.843
  15 0.3625 215.552 304.5
  16 0.3875 216.124 306.739
  17 0.4125 216.414 318.634
  18 0.4375 216.146 330.327
  19 0.4625 214.822 344.641
  20 0.4875 215.48 337.26
  21 0.5125 215.904 351.183
  22 0.5375 215.398 342.74
  23 0.5625 215.936 335.194
  24 0.5875 215.602 324.559
  25 0.6125 216.16 323.331
  26 0.6375 216.764 307.825
  27 0.6625 216.15 307.423
  28 0.6875 216.49 305.385
  29 0.7125 215.564 308.842
  30 0.7375 217.354 299.623
  31 0.7625 216.186 308.421
  32 0.7875 215.578 307.744
  33 0.8125 215.922 295.264
  34 0.8375 215.596 295.602
  35 0.8625 215.788 289.261
  36 0.8875 215.584 284.806
  37 0.9125 216.324 277.73
  38 0.9375 216.542 278.559
  39 0.9625 216.766 272.752
  40 0.9875 214.838 271.906
420000 40 8640
  1 0.0125 216.404 254.721
  2 0.0375 215.846 251.521
  3 0.0625 215.682 274.168
  4 0.0875 216.342 279.126
  5 0.1125 215.838 286.367
  6 0.1375 215.952 288.553
  7 0.1625 216.112 287.869
  8 0.1875 215.24 285.656
